District,Region,Variable_2,Local_Bivariate_I,P_Value,Significant
Prestea/Huni Valley Municipal,Western,Condom_Use_Women_pct,-0.4243338113725841,0.126,0
Ahanta West Municipal,Western,Condom_Use_Women_pct,-0.49568450848224727,0.073,0
Daffiama Bussie Issa,Upper West,Condom_Use_Women_pct,0.44539151541862676,0.324,0
Nzema East Municipal,Western,Condom_Use_Women_pct,-0.49568450848224727,0.073,0
Lawra Municipal,Upper West,Condom_Use_Women_pct,0.44539151541862676,0.485,0
Nandom,Upper West,Condom_Use_Women_pct,0.44539151541862676,0.461,0
Tarkwa-Nsuaem Municipal,Western,Condom_Use_Women_pct,-0.49568450848224727,0.071,0
Talensi,Upper East,Condom_Use_Women_pct,-4.484353776219114,0.001,1
Sefwi Akontombra,Western North,Condom_Use_Women_pct,-0.2574352242204162,0.327,0
Effia Kwesimintsim Municipal,Western,Condom_Use_Women_pct,-0.49568450848224715,0.137,0
Nabdam,Upper East,Condom_Use_Women_pct,-4.536772490184031,0.001,1
Builsa South,Upper East,Condom_Use_Women_pct,-3.478788113325478,0.001,1
Builsa North Municipal,Upper East,Condom_Use_Women_pct,-4.536772490184031,0.001,1
Binduri,Upper East,Condom_Use_Women_pct,-4.536772490184031,0.001,1
Pusiga,Upper East,Condom_Use_Women_pct,-4.536772490184031,0.001,1
Bawku Municipal,Upper East,Condom_Use_Women_pct,-4.536772490184031,0.001,1
North Gonja,Savannah,Condom_Use_Women_pct,-1.0730879001476281,0.102,0
West Gonja,Savannah,Condom_Use_Women_pct,0.6630022824526096,0.324,0
Mion,Northern,Condom_Use_Women_pct,-1.1796349510653323,0.064,0
Yendi Municipal,Northern,Condom_Use_Women_pct,-1.4428688415678954,0.105,0
Tolon,Northern,Condom_Use_Women_pct,-0.6005203919596934,0.215,0
Kumbungu,Northern,Condom_Use_Women_pct,-2.395524826243838,0.005,1
West Mamprusi Municipal,North East,Condom_Use_Women_pct,-3.97179443246752,0.001,1
Mamprugu Moagduri,North East,Condom_Use_Women_pct,-1.7938473622379796,0.023,1
Zabzugu,Northern,Condom_Use_Women_pct,-1.4428688415678954,0.091,0
Tatale Sanguli,Northern,Condom_Use_Women_pct,-1.4428688415678954,0.168,0
Sene East,Bono East,Condom_Use_Women_pct,-0.3020874019559591,0.001,1
Bibiani Anhwiaso Bekwai Municipal,Western North,Condom_Use_Women_pct,-0.4367426282612211,0.112,0
Sene West,Bono East,Condom_Use_Women_pct,-0.1313337758465959,0.238,0
Upper Denkyira East Municipal,Central,Condom_Use_Women_pct,-0.06760915560213256,0.303,0
Asutifi North,Ahafo,Condom_Use_Women_pct,-0.20448573345233922,0.044,1
Ahafo Ano North Municipal,Ashanti,Condom_Use_Women_pct,0.003958065151690987,0.049,1
Amansie Central,Ashanti,Condom_Use_Women_pct,0.004025634943557965,0.007,1
Amansie West,Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.003,1
Asutifi South,Ahafo,Condom_Use_Women_pct,-0.2251891176803798,0.007,1
Techiman Municipal,Bono East,Condom_Use_Women_pct,-0.15732802493291348,0.123,0
Upper Denkyira West,Central,Condom_Use_Women_pct,-0.1145638544357713,0.086,0
Techiman North,Bono East,Condom_Use_Women_pct,-0.12167219654017693,0.327,0
Cape Cape Metropolitan Area (CCMA)-Cape Coast South & Cape Coast North,Central,Condom_Use_Women_pct,-0.01655161900633119,0.448,0
Komenda Edina Eguafo Abirem Municipal,Central,Condom_Use_Women_pct,-0.06897676818952012,0.368,0
Banda,Bono,Condom_Use_Women_pct,-0.16583941622666348,0.131,0
Sefwi Wiawso Municipal,Western North,Condom_Use_Women_pct,-0.3770251969846554,0.122,0
Jaman North,Bono,Condom_Use_Women_pct,-0.20448573345233922,0.066,0
Asunafo South,Ahafo,Condom_Use_Women_pct,-0.16169873938105545,0.145,0
Tain,Bono,Condom_Use_Women_pct,-0.20448573345233922,0.045,1
Nkoranza South Municipal,Bono East,Condom_Use_Women_pct,-0.1734306571102784,0.143,0
Sekyere Kumawu,Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.003,1
Bole,Savannah,Condom_Use_Women_pct,0.688072176786187,0.22,0
Sekyere Afram Plains,Ashanti,Condom_Use_Women_pct,0.0031697509132429112,0.084,0
Asante Akim North Municipal,Ashanti,Condom_Use_Women_pct,0.004620249111987373,0.004,1
Asante Akim Central Municipal,Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.003,1
Kintampo North Municipal,Bono East,Condom_Use_Women_pct,-0.11063039161855531,0.292,0
Asokore Mampong Municipal,Ashanti,Condom_Use_Women_pct,0.004620249111987373,0.004,1
Atebubu Amantin Municipal,Bono East,Condom_Use_Women_pct,-0.1620930895568276,0.083,0
Kwadaso Municipal,Ashanti,Condom_Use_Women_pct,0.004620249111987373,0.004,1
Kpandai,Northern,Condom_Use_Women_pct,1.189470063457736,0.02,1
Ejisu Municipal,Ashanti,Condom_Use_Women_pct,0.0046202491119873715,0.002,1
Nkwanta North (Kpassa),Oti,Condom_Use_Women_pct,0.02599632815683657,0.33,0
Biakoye,Oti,Condom_Use_Women_pct,-0.059099566169499004,0.319,0
Wassa Amenfi East Municipal,Western,Condom_Use_Women_pct,-0.23199714959871007,0.331,0
Central Gonja,Savannah,Condom_Use_Women_pct,0.039836337589398974,0.481,0
Tema West Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.308,0
Ashaiman Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.308,0
Pru East,Bono East,Condom_Use_Women_pct,-0.1051094891577445,0.295,0
Kpone Katamanso Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.201,0
Savelugu Municipal,Northern,Condom_Use_Women_pct,-2.2250495447755116,0.019,1
Tamale Metropolitan Area (TMA)-Tamale Central & Tamale South,Northern,Condom_Use_Women_pct,-0.7409118002277271,0.162,0
Sagnarigu Municipal,Northern,Condom_Use_Women_pct,-1.4428688415678956,0.069,0
Karaga,Northern,Condom_Use_Women_pct,-2.7465033469139217,0.002,1
North East Gonja,Savannah,Condom_Use_Women_pct,-0.19165320619207588,0.344,0
South Dayi,Volta,Condom_Use_Women_pct,0.2615296070958011,0.122,0
Tempane,Upper East,Condom_Use_Women_pct,-4.536772490184031,0.001,1
Bolgatanga East,Upper East,Condom_Use_Women_pct,-4.536772490184031,0.001,1
Yunyoo Nasuan,North East,Condom_Use_Women_pct,-4.05013785225995,0.003,1
Nanton,Northern,Condom_Use_Women_pct,-1.4428688415678956,0.075,0
Assin Central Municipal,Central,Condom_Use_Women_pct,-0.016551619006331193,0.459,0
Gomoa Central,Central,Condom_Use_Women_pct,-0.01655161900633119,0.457,0
Pru West,Bono East,Condom_Use_Women_pct,-0.09866843628679851,0.295,0
Berekum West,Bono,Condom_Use_Women_pct,-0.2044857334523392,0.088,0
Ahafo Ano South West,Ashanti,Condom_Use_Women_pct,0.004267084333162634,0.012,1
Amansie South,Ashanti,Condom_Use_Women_pct,0.0031319118297974046,0.096,0
Atwima Nwabiagya North,Ashanti,Condom_Use_Women_pct,0.004620249111987373,0.004,1
Akrofuom,Ashanti,Condom_Use_Women_pct,0.0030593869198601805,0.055,0
Adansi North,Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.004,1
Obuasi East,Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.012,1
Afigya Kwabre North,Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.012,1
"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.004,1
Oforikrom Municipal,Ashanti,Condom_Use_Women_pct,0.004620249111987373,0.004,1
Asokwa Municipal,Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.012,1
Old Tafo Municipal,Ashanti,Condom_Use_Women_pct,0.004620249111987373,0.004,1
Suame Municipal,Ashanti,Condom_Use_Women_pct,0.004620249111987372,0.004,1
Juaben Municipal,Ashanti,Condom_Use_Women_pct,0.004620249111987373,0.004,1
Ablekuma Central Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.282,0
Korle Klottey Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.197,0
Ablekuma North Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.119,0
Ayawaso North Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.197,0
Ayawaso East Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.197,0
Okaikoi North Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.165,0
Ga North Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.282,0
Weija Gbawe Municipal,Greater Accra,Condom_Use_Women_pct,-0.20842580309364905,0.274,0
Krowor Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.309,0
Tema Metropolitan Area (TMA)-Tema Central & Tema East,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.309,0
East Gonja Municipal,Savannah,Condom_Use_Women_pct,0.5727506628517308,0.299,0
Ablekuma West Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.241,0
Ayawaso Central Municipal,Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.241,0
"Accra Metropolitan Area (AMA)-Ablekuma South, Ashiedu Keteke & Okaikoi South",Greater Accra,Condom_Use_Women_pct,-0.28735332619799525,0.282,0
Anloga,Volta,Condom_Use_Women_pct,0.143003182855548,0.183,0
"Sekondi Takoradi Metropolitan Area (STMA)- Takoradi, Sekondi & Essikado-Ketan",Western,Condom_Use_Women_pct,-0.49568450848224715,0.102,0
Kwahu South Municipal,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.269,0
Asene Manso Akroso,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.229,0
Upper Manya Krobo,Eastern,Condom_Use_Women_pct,-0.3694641372747409,0.189,0
Achiase,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.437,0
Okere,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.38,0
Yilo Krobo Municipal,Eastern,Condom_Use_Women_pct,-0.3694641372747409,0.189,0
Atiwa West,Eastern,Condom_Use_Women_pct,-0.3694641372747409,0.189,0
New Juaben North Municipal,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.269,0
Fanteakwa North,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.269,0
Birim North,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.329,0
Asuogyaman,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.38,0
Kwahu East,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.38,0
Kwahu West Municipal,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.329,0
Lower Manya Krobo Municipal,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.38,0
Nsawam Adoagyiri Municipal,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.38,0
Akwapim South Municipal,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.38,0
Denkyembuor,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.229,0
Kwaebibirem Municipal,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.269,0
Kwahu Afram Plains South,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.269,0
Kwahu Afram Plains North,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.38,0
Suhum Municipal,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.269,0
Ayensuano,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.183,0
Abuakwa South Municipal,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.229,0
Upper West Akim,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.329,0
West Akim Municipal,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.269,0
Akyemansa,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.269,0
Atiwa East,Eastern,Condom_Use_Women_pct,-0.3694641372747409,0.189,0
New Juaben South Municipal,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.269,0
Birim South,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.329,0
Abuakwa North Municipal,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.329,0
Akwapim North Municipal,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.269,0
Fanteakwa South,Eastern,Condom_Use_Women_pct,-0.3694641372747409,0.189,0
Birim Central Municipal,Eastern,Condom_Use_Women_pct,-0.369464137274741,0.329,0
Adentan Municipal,Greater Accra,VCT_Women_pct,0.4093255821820398,0.164,0
Ledzokuku Municipal,Greater Accra,VCT_Women_pct,0.4093255821820398,0.164,0
Chereponi,North East,VCT_Women_pct,4.108941759924735,0.004,1
Wa East,Upper West,VCT_Women_pct,3.084220057724852,0.001,1
Wa Municipal,Upper West,VCT_Women_pct,1.6383743381171643,0.05,0
Saboba,Northern,VCT_Women_pct,4.029076387599314,0.102,0
Jirapa Municipal,Upper West,VCT_Women_pct,1.6383743381171643,0.043,1
Gushegu Municipal,Northern,VCT_Women_pct,4.1355635506998745,0.001,1
Sissala West,Upper West,VCT_Women_pct,1.6383743381171643,0.049,1
Nanumba North Municipal,Northern,VCT_Women_pct,4.407866439199878,0.001,1
Lambussie Karni,Upper West,VCT_Women_pct,1.6383743381171643,0.05,0
Bolgatanga Municipal,Upper East,VCT_Women_pct,1.0681698022635169,0.088,0
Nanumba South,Northern,VCT_Women_pct,3.5909577736998686,0.001,1
Wenchi Municipal,Bono,VCT_Women_pct,-0.14476264744836648,0.152,0
Bongo,Upper East,VCT_Women_pct,1.0681698022635169,0.108,0
Tano South Municipal,Ahafo,VCT_Women_pct,0.17873065183962242,0.157,0
Kasena Nankana West,Upper East,VCT_Women_pct,-0.0,0.001,1
Wa West,Upper West,VCT_Women_pct,2.6173005362236386,0.008,1
Sunyani Municipal,Bono,VCT_Women_pct,-0.0547289136659489,0.322,0
Sawla Tuna Kalba,Savannah,VCT_Women_pct,4.252699430110491,0.001,1
Asante Akim South Municipal,Ashanti,VCT_Women_pct,-0.004318988399832825,0.058,0
Sissala East Municipal,Upper West,VCT_Women_pct,2.0149667115963763,0.022,1
Ada East,Greater Accra,VCT_Women_pct,0.36988400236568475,0.211,0
Shai-Osudoku,Greater Accra,VCT_Women_pct,0.3945349897509067,0.135,0
Kasena Nankana Municipal,Upper East,VCT_Women_pct,1.5357438632222664,0.033,1
Ada West,Greater Accra,VCT_Women_pct,0.38566063429222686,0.092,0
Bunkpurugu Nakpanduri,North East,VCT_Women_pct,3.581830302576963,0.003,1
Garu,Upper East,VCT_Women_pct,1.847459903861433,0.006,1
Ningo-Prampram,Greater Accra,VCT_Women_pct,0.4093255821820398,0.166,0
East Mamprusi Municipal,North East,VCT_Women_pct,3.0706919196942755,0.001,1
La Dade-Kotopon Municipal,Greater Accra,VCT_Women_pct,0.4093255821820399,0.111,0
Bawku West,Upper East,VCT_Women_pct,1.5357438632222664,0.033,1
Aowin Municipal,Western North,VCT_Women_pct,0.28722870864408906,0.333,0
Dormaa East,Bono,VCT_Women_pct,-0.09116116873139231,0.253,0
Suaman,Western North,VCT_Women_pct,0.14039975594943996,0.477,0
Berekum East Municipal,Bono,VCT_Women_pct,-0.11544933877502124,0.198,0
Bia East,Western North,VCT_Women_pct,-0.003605563039542735,0.407,0
Jaman South,Bono,VCT_Women_pct,-0.11544933877502124,0.26,0
Bia West,Western North,VCT_Women_pct,0.14039975594943996,0.445,0
Sunyani West Municipal,Bono,VCT_Women_pct,-0.06362759665607155,0.275,0
Asunafo North Municipal,Ahafo,VCT_Women_pct,0.001105959997565917,0.436,0
Bodi,Western North,VCT_Women_pct,0.14039975594943996,0.481,0
Juaboso,Western North,VCT_Women_pct,0.10490264650677754,0.445,0
Nkoranza North,Bono East,VCT_Women_pct,-0.1154493387750212,0.181,0
Kintampo South,Bono East,VCT_Women_pct,-0.2877398060795812,0.033,1
Shama,Western,VCT_Women_pct,0.329583214229084,0.288,0
Tano North Municipal,Ahafo,VCT_Women_pct,0.03709951248422458,0.449,0
Wassa East,Western,VCT_Women_pct,0.2549586091507595,0.262,0
Ketu North Municipal,Volta,VCT_Women_pct,0.11460710575905472,0.168,0
Mpohor,Western,VCT_Women_pct,0.4340576613387381,0.124,0
Wassa Amenfi West Municipal,Western,VCT_Women_pct,0.28722870864408906,0.266,0
Ketu South Municipal,Volta,VCT_Women_pct,0.11460710575905472,0.336,0
Wassa Amenfi Central,Western,VCT_Women_pct,0.35015540265608147,0.176,0
Keta Municipal,Volta,VCT_Women_pct,0.11460710575905474,0.127,0
Kadjebi,Oti,VCT_Women_pct,0.006724070816907144,0.435,0
Mfantsiman Municipal,Central,VCT_Women_pct,0.003957839151723832,0.393,0
South Tongu,Volta,VCT_Women_pct,0.12013956908942129,0.068,0
Ekumfi,Central,VCT_Women_pct,0.003957839151723832,0.393,0
Twifo Heman Lower Denkyira,Central,VCT_Women_pct,0.02101626775368735,0.485,0
Jasikan Municipal,Oti,VCT_Women_pct,0.04268508246428967,0.487,0
Twifo Ati Morkwa,Central,VCT_Women_pct,0.042339303506141755,0.349,0
Krachi East Municipal,Oti,VCT_Women_pct,-0.01356162806110351,0.4,0
Awutu Senya West,Central,VCT_Women_pct,0.0364610612176273,0.474,0
Nkwanta South Municipal,Oti,VCT_Women_pct,-0.092307022796654,0.181,0
Awutu Senya East Municipal,Central,VCT_Women_pct,0.036461061217627294,0.474,0
Afigya Kwabre South,Ashanti,VCT_Women_pct,-0.004318988399832825,0.016,1
La Nkwantanang Madina Municipal,Greater Accra,VCT_Women_pct,0.4093255821820399,0.117,0
Atwima Kwanwoma,Ashanti,VCT_Women_pct,-0.004318988399832825,0.033,1
Sekyere South,Ashanti,VCT_Women_pct,-0.004318988399832826,0.011,1
Ga East Municipal,Greater Accra,VCT_Women_pct,0.4093255821820399,0.116,0
Ayawaso West Municipal,Greater Accra,VCT_Women_pct,0.4093255821820399,0.036,1
Sekyere East,Ashanti,VCT_Women_pct,-0.004318988399832825,0.033,1
Ga South Municipal,Greater Accra,VCT_Women_pct,0.3100173187158605,0.213,0
Ga West Municipal,Greater Accra,VCT_Women_pct,0.4093255821820399,0.116,0
Sekyere Central,Ashanti,VCT_Women_pct,-0.0028188817418756235,0.168,0
Ga Central Municipal,Greater Accra,VCT_Women_pct,0.4093255821820399,0.116,0
Offinso North,Ashanti,VCT_Women_pct,-0.0005878557684341733,0.442,0
Krachi West Municipal,Oti,VCT_Women_pct,-0.033847326939114165,0.323,0
Offinso Municipal,Ashanti,VCT_Women_pct,-0.004318988399832824,0.025,1
Obuasi Municipal,Ashanti,VCT_Women_pct,-0.004318988399832825,0.061,0
Krachi Nchumuru,Oti,VCT_Women_pct,-0.216879655452074,0.028,1
Kwabre East,Ashanti,VCT_Women_pct,-0.004318988399832824,0.025,1
Agortime-Ziope,Volta,VCT_Women_pct,0.11460710575905474,0.129,0
Adaklu,Volta,VCT_Women_pct,0.11460710575905471,0.223,0
Ejura Sekyedumase Municipal,Ashanti,VCT_Women_pct,-0.0018188106365708229,0.214,0
Atwima Nwabiagya South Municipal,Ashanti,VCT_Women_pct,-0.004318988399832825,0.019,1
Akatsi South Municipal,Volta,VCT_Women_pct,0.11460710575905472,0.103,0
Atwima Mponua,Ashanti,VCT_Women_pct,-0.002635195212329844,0.108,0
Akatsi North,Volta,VCT_Women_pct,0.11460710575905471,0.223,0
Ho Municipal,Volta,VCT_Women_pct,0.11460710575905472,0.343,0
Adansi South,Ashanti,VCT_Women_pct,-0.003266617657643462,0.163,0
Hohoe Municipal,Volta,VCT_Women_pct,0.06066558828798094,0.366,0
Adansi Asokwa,Ashanti,VCT_Women_pct,-0.004318988399832824,0.025,1
Ho West,Volta,VCT_Women_pct,0.0,0.001,1
Bosome Freho,Ashanti,VCT_Women_pct,-0.004318988399832826,0.013,1
Afadzato South,Volta,VCT_Women_pct,0.11460710575905472,0.17,0
Ahafo Ano South East,Ashanti,VCT_Women_pct,-0.004318988399832824,0.025,1
North Dayi,Volta,VCT_Women_pct,0.11460710575905471,0.225,0
Bekwai Municipal,Ashanti,VCT_Women_pct,-0.004318988399832824,0.025,1
Kpando Municipal,Volta,VCT_Women_pct,0.08763634702351783,0.26,0
Bosomtwi,Ashanti,VCT_Women_pct,-0.004318988399832824,0.025,1
North Tongu,Volta,VCT_Women_pct,0.12428891658719622,0.148,0
Central Tongu,Volta,VCT_Women_pct,0.11460710575905474,0.13,0
Mampong Municipal,Ashanti,VCT_Women_pct,-0.004318988399832825,0.065,0
Ajumako Enyan Essiam,Central,VCT_Women_pct,0.003957839151723833,0.446,0
Gomoa West,Central,VCT_Women_pct,0.003957839151723833,0.446,0
Agona West Municipal,Central,VCT_Women_pct,0.003957839151723833,0.424,0
Agona East,Central,VCT_Women_pct,0.003957839151723832,0.391,0
Assin North,Central,VCT_Women_pct,0.05467208634675048,0.341,0
Assin South,Central,VCT_Women_pct,0.003957839151723833,0.446,0
Asikuma Odoben Brakwa,Central,VCT_Women_pct,0.003957839151723833,0.446,0
Effutu Municipal,Central,VCT_Women_pct,0.003957839151723832,0.391,0
Gomoa East,Central,VCT_Women_pct,0.020209450184675567,0.452,0
Abura Asebu Kwamankese,Central,VCT_Women_pct,0.003957839151723833,0.446,0
Jomoro Municipal,Western,VCT_Women_pct,0.3361716928756387,0.35,0
Ellembelle,Western,VCT_Women_pct,0.4340576613387381,0.186,0
Dormaa Central Municipal,Bono,VCT_Women_pct,0.0,0.001,1
Dormaa West,Bono,VCT_Women_pct,0.02902339682932333,0.416,0
Nadowli Kaleo,Upper West,VCT_Women_pct,1.6383743381171643,0.05,0
Prestea/Huni Valley Municipal,Western,VCT_Women_pct,0.364408029932302,0.191,0
Ahanta West Municipal,Western,VCT_Women_pct,0.43405766133873813,0.157,0
Daffiama Bussie Issa,Upper West,VCT_Women_pct,1.638374338117164,0.031,1
Nzema East Municipal,Western,VCT_Women_pct,0.43405766133873813,0.157,0
Lawra Municipal,Upper West,VCT_Women_pct,1.638374338117164,0.061,0
Nandom,Upper West,VCT_Women_pct,1.6383743381171643,0.101,0
Tarkwa-Nsuaem Municipal,Western,VCT_Women_pct,0.43405766133873813,0.156,0
Talensi,Upper East,VCT_Women_pct,1.7361327464903018,0.009,1
Sefwi Akontombra,Western North,VCT_Women_pct,0.19913133702729963,0.388,0
Effia Kwesimintsim Municipal,Western,VCT_Women_pct,0.4340576613387381,0.249,0
Nabdam,Upper East,VCT_Women_pct,1.0681698022635169,0.091,0
Builsa South,Upper East,VCT_Women_pct,2.0738251238493994,0.007,1
Builsa North Municipal,Upper East,VCT_Women_pct,1.0681698022635169,0.187,0
Binduri,Upper East,VCT_Women_pct,1.0681698022635169,0.117,0
Pusiga,Upper East,VCT_Women_pct,1.0681698022635169,0.187,0
Bawku Municipal,Upper East,VCT_Women_pct,1.0681698022635169,0.091,0
North Gonja,Savannah,VCT_Women_pct,4.306703634254346,0.001,1
West Gonja,Savannah,VCT_Women_pct,5.923026645602129,0.001,1
Mion,Northern,VCT_Women_pct,4.2658201698496665,0.001,1
Yendi Municipal,Northern,VCT_Women_pct,4.029076387599314,0.004,1
Tolon,Northern,VCT_Women_pct,4.786656490800441,0.001,1
Kumbungu,Northern,VCT_Women_pct,4.397978345483397,0.001,1
West Mamprusi Municipal,North East,VCT_Women_pct,3.050725576612921,0.001,1
Mamprugu Moagduri,North East,VCT_Women_pct,3.1581635179554497,0.003,1
Zabzugu,Northern,VCT_Women_pct,4.029076387599314,0.002,1
Tatale Sanguli,Northern,VCT_Women_pct,4.029076387599314,0.1,0
Sene East,Bono East,VCT_Women_pct,-0.14057503192360288,0.145,0
Bibiani Anhwiaso Bekwai Municipal,Western North,VCT_Women_pct,0.3832322546367441,0.172,0
Sene West,Bono East,VCT_Women_pct,-0.2745787287160385,0.067,0
Upper Denkyira East Municipal,Central,VCT_Women_pct,0.05485650179109606,0.358,0
Asutifi North,Ahafo,VCT_Women_pct,-0.04258482864413444,0.334,0
Ahafo Ano North Municipal,Ashanti,VCT_Women_pct,-0.0011618761732647344,0.459,0
Amansie Central,Ashanti,VCT_Women_pct,-0.0037176336900103316,0.048,1
Amansie West,Ashanti,VCT_Women_pct,-0.004318988399832824,0.027,1
Asutifi South,Ahafo,VCT_Women_pct,0.10469959166969431,0.242,0
Techiman Municipal,Bono East,VCT_Women_pct,-0.08613603010167593,0.248,0
Upper Denkyira West,Central,VCT_Women_pct,0.10215906326572999,0.148,0
Techiman North,Bono East,VCT_Women_pct,-0.15941930178503913,0.165,0
Cape Cape Metropolitan Area (CCMA)-Cape Coast South & Cape Coast North,Central,VCT_Women_pct,0.003957839151723832,0.396,0
Komenda Edina Eguafo Abirem Municipal,Central,VCT_Women_pct,0.05513312495761441,0.404,0
Banda,Bono,VCT_Women_pct,-0.321480022593391,0.041,1
Sefwi Wiawso Municipal,Western North,VCT_Women_pct,0.2604041884402588,0.238,0
Jaman North,Bono,VCT_Women_pct,-0.11544933877502124,0.228,0
Asunafo South,Ahafo,VCT_Women_pct,0.07048079052448308,0.399,0
Tain,Bono,VCT_Women_pct,-0.11544933877502125,0.204,0
Nkoranza South Municipal,Bono East,VCT_Women_pct,0.031117204591705163,0.469,0
Sekyere Kumawu,Ashanti,VCT_Women_pct,-0.004318988399832824,0.025,1
Bole,Savannah,VCT_Women_pct,3.382547183060201,0.003,1
Sekyere Afram Plains,Ashanti,VCT_Women_pct,-0.0005687217549398215,0.483,0
Asante Akim North Municipal,Ashanti,VCT_Women_pct,-0.004318988399832825,0.044,1
Asante Akim Central Municipal,Ashanti,VCT_Women_pct,-0.004318988399832824,0.025,1
Kintampo North Municipal,Bono East,VCT_Women_pct,-0.7218160667607921,0.002,1
Asokore Mampong Municipal,Ashanti,VCT_Women_pct,-0.004318988399832825,0.043,1
Atebubu Amantin Municipal,Bono East,VCT_Women_pct,0.0018038959183598873,0.454,0
Kwadaso Municipal,Ashanti,VCT_Women_pct,-0.004318988399832825,0.044,1
Kpandai,Northern,VCT_Women_pct,1.9571404426998495,0.03,1
Ejisu Municipal,Ashanti,VCT_Women_pct,-0.004318988399832825,0.015,1
Nkwanta North (Kpassa),Oti,VCT_Women_pct,-0.32337957456162997,0.026,1
Biakoye,Oti,VCT_Women_pct,0.022399383586279017,0.487,0
Wassa Amenfi East Municipal,Western,VCT_Women_pct,0.17616578288788007,0.396,0
Central Gonja,Savannah,VCT_Women_pct,4.671259177317997,0.001,1
Tema West Municipal,Greater Accra,VCT_Women_pct,0.4093255821820399,0.426,0
Ashaiman Municipal,Greater Accra,VCT_Women_pct,0.4093255821820399,0.426,0
Pru East,Bono East,VCT_Women_pct,-0.5392360298810988,0.004,1
Kpone Katamanso Municipal,Greater Accra,VCT_Women_pct,0.4093255821820399,0.077,0
Savelugu Municipal,Northern,VCT_Women_pct,4.061022536529483,0.001,1
Tamale Metropolitan Area (TMA)-Tamale Central & Tamale South,Northern,VCT_Women_pct,4.660393140266919,0.001,1
Sagnarigu Municipal,Northern,VCT_Women_pct,4.029076387599315,0.001,1
Karaga,Northern,VCT_Women_pct,4.082319969149594,0.001,1
North East Gonja,Savannah,VCT_Women_pct,3.161966630923327,0.001,1
South Dayi,Volta,VCT_Women_pct,0.11460710575905472,0.338,0
Tempane,Upper East,VCT_Women_pct,1.0681698022635169,0.125,0
Bolgatanga East,Upper East,VCT_Women_pct,1.0681698022635169,0.091,0
Yunyoo Nasuan,North East,VCT_Women_pct,4.1355635506998745,0.002,1
Nanton,Northern,VCT_Women_pct,4.029076387599315,0.001,1
Assin Central Municipal,Central,VCT_Women_pct,0.003957839151723833,0.443,0
Gomoa Central,Central,VCT_Women_pct,0.003957839151723832,0.422,0
Pru West,Bono East,VCT_Women_pct,-0.32622598685478965,0.026,1
